Total_Amount_USD,Actual_Tip_USD,Predicted_Tip_USD
32.480000000000004,10.65,12.790884065474906
48.01,5.15,8.764082048488767
19.34,22.167,10.406905368801333
25.959999999999997,19.517,8.331215041017948
17.65,3.717,9.92435401899776
16.39,7.683,11.724350387100749
54.11,2.183,9.45744221034856
32.38,1.5,8.76482291952653
41.71,17.283,14.741173181091753
27.32,24.3,13.787324850960992
18.95,20.217,13.330135413281432
42.2,8.583,8.20884833453907
48.38,3.583,10.246558183878705
31.020000000000003,7.867,8.062496530110323
17.439999999999998,0.267,11.385455002234828
34.61,5.617,10.726357075777408
32.7,11.733,11.194471846769943
24.36,7.8,11.416276485574755
22.240000000000002,21.3,10.87300247064595
35.160000000000004,11.8,14.307003162859893
38.129999999999995,2.7,14.50387109479098
31.87,24.117,11.1578734063932
26.990000000000002,5.267,9.196931644050082
43.2,6.083,9.734044821241064
25.939999999999998,15.633,11.343798120809602
25.2,23.6,9.835448264284182
21.79,3.95,10.198775984719887
28.38,6.267,10.958756915568976
5.69,22.983,8.453613452877654
30.36,32.933,10.683394425016445
21.18,2.717,11.665582668939827
20.12,21.333,10.652887948375714
23.5,3.217,13.53411424490821
24.11,18.9,10.812652412401782
28.68,16.9,12.538999169401457
46.23,2.65,8.14437682801914
31.32,3.983,11.185856183100618
10.05,7.583,10.323701929761377
39.14,5.683,4.313937558063046
29.119999999999997,14.233,11.144742762224936
29.75,6.467,10.227000097666725
24.33,17.567,9.425669547398911
47.83,4.267,11.841402091964632
12.16,3.467,9.786946420620502
16.94,4.8,11.327186840361279
22.77,2.9,10.09323320919929
14.05,15.917,10.153875267939206
20.11,20.183,13.309406403411103
57.19,13.367,4.165209965633096
21.57,0.733,9.378695660708395
28.86,5.85,9.659194483098105
56.42,2.35,6.280958444731155
36.400000000000006,31.783,14.389197181578595
102.16,0.0,-0.16629812721667037
33.99,3.617,9.556215459965912
28.99,6.733,8.176090748715616
30.39,5.5,9.357862539397743
14.82,7.95,10.089836876669288
16.94,6.517,9.071793800492586
29.64,7.067,11.162140784439806
16.94,7.667,11.722841109301335
14.82,2.283,9.028888731354883
23.5,26.583,10.851807522492948
22.759999999999998,21.133,8.723224580003638
23.71,16.033,13.548034199691216
41.71,18.1,14.83879336976345
20.12,29.45,11.971595298246534
37.98,8.733,7.331707281845084
31.77,1.867,9.830228933144866
24.88,13.117,9.76016065209896
11.99,1.533,12.771168151801525
25.98,9.7,10.393063939542309
36.32,7.2,10.847760254152853
10.28,13.233,12.755440137240171
33.66,23.367,12.869100954255607
20.12,3.75,10.507898395812724
23.189999999999998,0.0,8.292593761443186
38.28,4.367,7.309767607916804
5.29,19.767,12.32705530872466
28.580000000000002,0.467,9.26339879821299
22.39,3.617,8.173575113224373
7.38,10.683,9.80745020457696
12.700000000000001,10.05,10.40173831335143
51.78,9.85,9.666431366126659
47.31,23.383,8.029150290721894
10.48,16.883,10.641223312479994
30.369999999999997,26.017,11.129979447261611
20.11,20.667,11.328843005346648
0.0,12.333,12.074025207862526
28.270000000000003,2.583,9.684525839846863
14.6,5.033,10.166167366943725
16.94,8.1,11.48828634320904
40.85,35.833,10.929201149109701
26.66,3.583,13.74357642164297
71.71000000000001,12.717,12.799870767570262
0.0,10.7,10.637931059036589
65.68,3.817,13.02459824852017
15.96,12.0,9.996247867501168
36.18,4.467,9.743964151895753
23.830000000000002,4.167,11.543205160933212
20.11,24.65,11.320788030204262
53.879999999999995,7.35,15.547867703516452
24.45,0.817,8.521103042704212
29.87,4.283,8.799820695679827
20.12,9.717,11.971595298246534
36.63,9.833,5.938663971690964
16.029999999999998,22.267,10.68786931301267
27.939999999999998,10.433,13.82842186032034
18.0,7.917,11.333970155089908
22.220000000000002,2.1,9.662082402790588
25.64,8.733,10.37052686989363
24.84,8.15,11.335323873085336
26.990000000000002,0.433,8.399489104953652
