Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD,Store_postal_code,Store_zip4_code,Area_sqmi,Businesses,Avg_income,Store_locale_name
541,25.433,,37.383,DoorDash,Delivery,17.04,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,101.15,,110.117,DoorDash,Delivery,30.37,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,1.183,22.883,11.8,PapaCall,Delivery,47.04,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.967,14.717,8.35,PapaCall,Delivery,22.88,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,6.767,22.267,17.417,PapaCall,Delivery,34.35,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.583,20.233,8.45,PapaCall,Delivery,18.67,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,1.533,22.15,12.2,PapaCall,Delivery,42.06,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.483,16.433,9.967,PapaCall,Delivery,39.73,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,9.117,28.533,20.933,PapaCall,Delivery,29.24,4.0,40508,3089,6.10845,3269,62508.0,City - Large
541,2.9,22.433,16.8,PapaCall,Delivery,27.36,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,8.167,28.317,19.65,PapaCall,Delivery,26.28,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.6,,11.75,PapaCall,Delivery,15.16,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,1.967,23.417,14.35,PapaCall,Delivery,54.74,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,1.4,19.133,9.617,PapaCall,Delivery,23.26,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,8.867,35.283,20.65,PapaCall,Delivery,19.07,1.0,40508,3089,6.10845,3269,62508.0,City - Large
541,7.25,33.283,16.467,PapaCall,Delivery,18.87,3.0,40508,3089,6.10845,3269,62508.0,City - Large
541,9.683,28.65,20.017,PapaCall,Delivery,29.14,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,68.117,,79.467,Uber Eats,Delivery,15.49,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,0.917,,10.1,Uber Eats,Delivery,33.68,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,4.083,,13.967,Uber Eats,Delivery,13.75,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,69.433,,80.267,Uber Eats,Delivery,25.36,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,89.467,,98.85,Uber Eats,Delivery,15.49,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,238.517,,246.033,Uber Eats,Delivery,18.08,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,8.283,,20.517,Uber Eats,Delivery,34.59,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,85.2,,92.567,Uber Eats,Delivery,19.18,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,3.833,20.833,13.717,Mobile Web,Delivery,24.36,4.84,40508,3089,6.10845,3269,62508.0,City - Large
541,3.083,21.817,10.9,Mobile Web,Delivery,20.58,2.34,40508,3089,6.10845,3269,62508.0,City - Large
541,2.783,,17.5,Mobile Web,Delivery,66.65,15.41,40508,3089,6.10845,3269,62508.0,City - Large
541,13.333,35.7,22.367,Mobile Web,Delivery,27.07,3.31,40508,3089,6.10845,3269,62508.0,City - Large
541,5.483,23.283,14.783,Mobile Web,Delivery,24.37,2.67,40508,3089,6.10845,3269,62508.0,City - Large
541,8.05,27.983,18.367,Mobile Web,Delivery,50.95,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,1.8,21.967,10.933,Mobile Web,Delivery,31.65,4.0,40508,3089,6.10845,3269,62508.0,City - Large
541,4.65,27.5,18.05,Mobile Web,Delivery,31.37,3.96,40508,3089,6.10845,3269,62508.0,City - Large
541,2.1,18.317,9.9,Mobile Web,Delivery,19.67,1.92,40508,3089,6.10845,3269,62508.0,City - Large
541,3.1,21.833,13.033,Mobile Web,Delivery,38.12,4.97,40508,3089,6.10845,3269,62508.0,City - Large
541,2.767,,14.5,Mobile Web,Delivery,26.28,4.26,40508,3089,6.10845,3269,62508.0,City - Large
541,6.083,20.183,14.7,Mobile Web,Delivery,54.25,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,3.617,18.317,11.4,Mobile Web,Delivery,22.27,0.0,40508,3089,6.10845,3269,62508.0,City - Large
541,3.033,23.767,12.2,Mobile Web,Delivery,22.77,1.0,40508,3089,6.10845,3269,62508.0,City - Large
541,7.067,27.717,15.467,Mobile Web,Delivery,31.27,0.0,40508,3089,6.10845,3269,62508.0,City - Large
