,Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD
223,541,89.467,,98.85,Uber Eats,Delivery,15.49,0.0
224,541,238.517,,246.033,Uber Eats,Delivery,18.08,0.0
225,541,8.283,,20.517,Uber Eats,Delivery,34.59,0.0
226,541,85.2,,92.567,Uber Eats,Delivery,19.18,0.0
227,541,155.0,,161.967,Mobile Web,Carryout,15.27,2.01
228,541,71.917,,83.3,Mobile Web,Carryout,18.29,2.74
229,541,111.5,,119.117,Mobile Web,Carryout,22.47,0.0
230,541,225.633,,234.2,Mobile Web,Carryout,23.56,0.0
231,541,23.733,,31.283,Mobile Web,Carryout,45.35,0.0
232,541,9.383,,20.9,Mobile Web,Carryout,33.57,0.0
233,541,240.7,,250.383,Mobile Web,Carryout,20.68,1.0
234,541,46.4,,86.667,Mobile Web,Carryout,44.26,0.0
235,541,21.383,,30.367,Mobile Web,Carryout,45.45,0.0
236,541,48.75,,60.95,Mobile Web,Carryout,60.04,0.0
237,541,152.4,,160.0,Mobile Web,Carryout,17.09,2.56
238,541,3.217,,11.767,Mobile Web,Carryout,15.99,0.0
239,541,146.75,,153.467,Mobile Web,Carryout,7.99,0.0
240,541,59.15,,72.633,Mobile Web,Carryout,83.74,0.0
241,541,58.083,,65.867,Mobile Web,Carryout,11.98,0.0
242,541,3.833,20.833,13.717,Mobile Web,Delivery,24.36,4.84
243,541,3.083,21.817,10.9,Mobile Web,Delivery,20.58,2.34
244,541,2.783,,17.5,Mobile Web,Delivery,66.65,15.41
245,541,13.333,35.7,22.367,Mobile Web,Delivery,27.07,3.31
246,541,5.483,23.283,14.783,Mobile Web,Delivery,24.37,2.67
247,541,8.05,27.983,18.367,Mobile Web,Delivery,50.95,0.0
248,541,1.8,21.967,10.933,Mobile Web,Delivery,31.65,4.0
249,541,4.65,27.5,18.05,Mobile Web,Delivery,31.37,3.96
250,541,2.1,18.317,9.9,Mobile Web,Delivery,19.67,1.92
251,541,3.1,21.833,13.033,Mobile Web,Delivery,38.12,4.97
252,541,2.767,,14.5,Mobile Web,Delivery,26.28,4.26
253,541,6.083,20.183,14.7,Mobile Web,Delivery,54.25,0.0
254,541,3.617,18.317,11.4,Mobile Web,Delivery,22.27,0.0
255,541,3.033,23.767,12.2,Mobile Web,Delivery,22.77,1.0
256,541,7.067,27.717,15.467,Mobile Web,Delivery,31.27,0.0
257,541,8.183,22.217,16.05,Mobile Web,Delivery,23.28,2.74
258,541,8.35,24.067,17.15,Mobile Web,Delivery,35.54,4.22
259,541,52.183,,65.3,Desktop Web,Carryout,23.58,0.0
260,541,249.717,,258.533,Desktop Web,Carryout,14.68,0.0
261,541,8.783,30.283,21.717,Desktop Web,Delivery,59.35,13.59
262,541,0.1,17.233,9.167,Desktop Web,Delivery,17.68,2.54
263,541,3.717,20.2,12.133,Desktop Web,Delivery,24.27,2.61
264,541,11.133,32.933,20.867,Desktop Web,Delivery,45.92,7.81
265,541,3.433,22.017,13.033,Desktop Web,Delivery,32.16,3.84
266,541,13.6,30.167,22.017,Desktop Web,Delivery,25.77,4.16
267,541,0.483,23.617,8.117,Desktop Web,Delivery,23.98,2.85
268,541,5.15,27.567,15.35,Desktop Web,Delivery,50.95,4.78
269,541,5.733,,13.867,Desktop Web,Delivery,31.24,5.25
270,541,3.65,25.5,13.133,Desktop Web,Delivery,19.97,0.0
271,541,1.3,,19.95,Traditional,Carryout,62.02,0.0
272,541,90.7,,97.483,Traditional,Carryout,31.97,3.38
273,541,46.867,,57.033,Traditional,Carryout,21.76,0.0
274,541,7.65,,17.883,Traditional,Carryout,14.09,0.0
275,541,9.017,37.667,17.833,Traditional,Delivery,19.08,0.0
276,541,5.583,,14.0,iOS,Carryout,15.99,0.0
277,541,3.233,,11.317,iOS,Carryout,29.18,0.0
278,541,1.683,,8.533,iOS,Carryout,14.09,0.0
279,541,255.5,,265.733,iOS,Carryout,17.17,0.0
280,541,3.767,,12.1,iOS,Carryout,14.09,0.0
281,541,9.683,,19.167,iOS,Carryout,30.97,0.0
282,541,3.05,,13.883,iOS,Carryout,18.84,2.09
283,541,26.567,,34.383,iOS,Carryout,17.78,0.0
284,541,18.7,,31.1,iOS,Carryout,31.18,0.0
285,541,12.167,,20.4,iOS,Carryout,22.18,0.0
286,541,19.133,,26.317,iOS,Carryout,20.58,0.0
287,541,26.433,,33.4,iOS,Carryout,18.99,0.0
288,541,282.567,,298.967,iOS,Carryout,69.85,0.0
289,541,21.15,,31.567,iOS,Carryout,30.17,3.0
290,541,12.817,,21.967,iOS,Carryout,17.09,0.0
291,541,16.333,,26.05,iOS,Carryout,32.47,0.0
292,541,6.25,,13.933,iOS,Carryout,22.08,1.69
293,541,7.917,,18.733,iOS,Carryout,32.16,1.7
294,541,6.7,25.6,15.917,iOS,Delivery,31.76,0.0
295,541,9.217,33.85,24.967,iOS,Delivery,24.98,3.0
296,541,2.317,,15.45,iOS,Delivery,34.17,5.52
297,541,1.267,16.733,10.833,iOS,Delivery,30.07,6.0
